 Increase    Life    IMR    TFR   GDP
    1.2       69.2   30     2.9   659.91  
      1.2       68.6   24     2.8  4343.04
    1.1       74.7   7      1.9 17529.98
   1.0       73.0   7      1.5 20561.88
  3.2       45.9   86     7.1   398.21
  2.4       57.7   75     4.8   812.19
 1.5       64.0   58     2.9  3219.22
       2.8       50.1  116     5.3    97.39
  1.1       66.7   44     2.0   341.31
      1.7       66.4   37     2.7  1246.87
  -1.5       67.1    9     1.7  5400.66
      2.2       63.9   46     4.0   988.58
   0.4       73.0    7     1.7 21076.77
    0.6       75.0   10     1.4  6501.23
        2.9       62.4   48     5.4   831.81
2.3       67.0   36     5.0  9129.34
0.2       74.2    8     1.3 19204.92
    3.3       45.0  143     7.2   229.01
      0.7       74.4    7     1.6 18961.90
    3.1       60.6   91     6.2   385.59
  1.9       55.2   68     5.1   839.03
 1.7       64.1   64     3.4  1674.15
     -0.5       66.6   23     1.5  1647.97
  1.1       72.5    9     2.1 21965.08
        4.4       52.4   67     5.0   686.75
